74	14	111	16	70	6	90	93	31	7.89576615979
74	14	111	16	70	6	90	93	22	7.88326146189
74	14	111	16	70	6	90	93	22	7.88326146189
94	115	81	40	68	30	8	47	109	7.86360041746
94	115	81	40	68	30	8	47	109	7.86360041746
94	115	81	40	68	30	8	47	109	7.86360041746
94	115	81	40	68	30	8	47	109	7.86360041746
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
94	115	81	40	68	96	8	47	109	7.86271706885
